position,handedness,player,pitcher,p_throws,lineup_spot,away_team,home_team,status,rating,team,playerid,FanDuel,DraftKings,pred_hr,pred_odds,diff,pick
SS,R,Mookie Betts,Robbie Ray,L,2,LAD,SF,away,4.46,LAD,605141.0,600.0,475.0,12.8,681.0,-81.0,0.0
C,R,Will Smith,Robbie Ray,L,3,LAD,SF,away,6.23,LAD,669257.0,500.0,425.0,17.8,462.0,38.0,0.0
1B,L,Freddie Freeman,Robbie Ray,L,4,LAD,SF,away,3.92,LAD,518692.0,830.0,650.0,11.200000000000001,793.0,37.0,0.0
RF,R,Teoscar Hernandez,Robbie Ray,L,5,LAD,SF,away,6.0,LAD,606192.0,600.0,450.0,17.2,481.0,119.0,0.0
CF,R,Andy Pages,Robbie Ray,L,6,LAD,SF,away,4.59,LAD,681624.0,680.0,550.0,13.100000000000001,663.0,17.0,0.0
2B,S,Tommy Edman,Robbie Ray,L,7,LAD,SF,away,3.76,LAD,669242.0,830.0,600.0,10.8,826.0,4.0,0.0
3B,R,Miguel Rojas,Robbie Ray,L,8,LAD,SF,away,3.35,LAD,500743.0,1100.0,1100.0,9.6,942.0,158.0,0.0
LF,R,Esteury Ruiz,Robbie Ray,L,9,LAD,SF,away,4.65,LAD,665923.0,1100.0,1100.0,13.3,652.0,448.0,0.0
LF,R,Heliot Ramos,Yoshinobu Yamamoto,R,1,LAD,SF,home,4.51,SF,671218.0,800.0,550.0,12.9,675.0,125.0,0.0
DH,L,Rafael Devers,Yoshinobu Yamamoto,R,2,LAD,SF,home,7.68,SF,646240.0,600.0,400.0,22.0,355.0,245.0,1.0
SS,R,Willy Adames,Yoshinobu Yamamoto,R,3,LAD,SF,home,4.91,SF,642715.0,680.0,450.0,14.000000000000002,614.0,66.0,0.0
3B,R,Matt Chapman,Yoshinobu Yamamoto,R,4,LAD,SF,home,4.89,SF,656305.0,560.0,450.0,14.000000000000002,614.0,-54.0,0.0
RF,L,Mike Yastrzemski,Yoshinobu Yamamoto,R,5,LAD,SF,home,4.95,SF,573262.0,900.0,550.0,14.2,604.0,296.0,0.0
